Index	X	Acquisition
229	0.631569043743817	4
230	0.661886984096948	6
231	0.692204926437139	7
232	0.72252287085542	7
233	0.752840817442824	8
234	0.78315876629038	6
235	0.813476717489123	8
236	0.843794671130083	4
237	0.874112627304291	4
238	0.904430586102779	4
239	0.93474854761658	11
240	0.965066511936723	8
241	0.995384479154241	10
242	1.02570244936017	6
243	1.05602042264553	10
244	1.08633839910136	7
245	1.11665637881869	5
246	1.14697436188856	11
247	1.17729234840199	8
248	1.20761033845002	8
249	1.23792833212367	8
250	1.26824632951398	13
251	1.29856433071199	10
252	1.32888233580871	20
253	1.35920034489519	28
254	1.38951835806246	37
255	1.41983637540154	51
256	1.45015439700347	66
257	1.48047242295928	90
258	1.51079045336	120
259	1.54110848829667	158
260	1.57142652786031	188
261	1.60174457214196	206
262	1.63206262123264	237
263	1.66238067522339	233
264	1.69269873420525	193
265	1.72301679826924	240
266	1.75333486750639	207
267	1.78365294200774	228
268	1.81397102186431	228
269	1.84428910716715	224
270	1.87460719800727	205
271	1.90492529447572	223
272	1.93524339666352	217
273	1.96556150466171	191
274	1.99587961856131	226
275	2.02619773845336	222
276	2.05651586442889	214
277	2.08683399657894	212
278	2.11715213499452	216
279	2.14747027976669	225
280	2.17778843098645	205
281	2.20810658874486	223
282	2.23842475313293	237
283	2.26874292424171	235
284	2.29906110216222	253
285	2.32937928698549	260
286	2.35969747880256	242
287	2.39001567770445	228
288	2.42033388378221	204
289	2.45065209712685	219
290	2.48097031782942	233
291	2.51128854598094	210
292	2.54160678167245	232
293	2.57192502499497	242
294	2.60224327603955	237
295	2.6325615348972	216
296	2.66287980165896	245
297	2.69319807641587	223
298	2.72351635925895	248
299	2.75383465027924	252
300	2.78415294956776	233
301	2.81447125721556	234
302	2.84478957331365	237
303	2.87510789795308	233
304	2.90542623122488	246
305	2.93574457322006	233
306	2.96606292402968	231
307	2.99638128374475	257
308	3.02669965245632	217
309	3.05701803025541	267
310	3.08733641723305	236
311	3.11765481348027	240
312	3.14797321908812	276
313	3.17829163414761	236
314	3.20861005874978	238
315	3.23892849298566	221
316	3.26924693694629	232
317	3.29956539072269	235
318	3.3298838544059	263
319	3.36020232808694	254
320	3.39052081185686	235
321	3.42083930580667	242
322	3.45115781002742	232
323	3.48147632461013	248
324	3.51179484964584	263
325	3.54211338522557	236
326	3.57243193144037	276
327	3.60275048838125	244
328	3.63306905613926	257
329	3.66338763480542	244
330	3.69370622447076	257
331	3.72402482522632	260
332	3.75434343716313	278
333	3.78466206037222	263
334	3.81498069494462	269
