Index	X	Acquisition
373	4.99741727704783	266
374	5.02773644079858	265
375	5.05805561964494	285
376	5.08837481367793	257
377	5.1186940229886	262
378	5.14901324766797	306
379	5.17933248780707	286
380	5.20965174349693	267
381	5.23997101482859	271
382	5.27029030189308	298
383	5.30060960478142	271
384	5.33092892358465	281
385	5.36124825839381	290
386	5.39156760929992	267
387	5.42188697639402	253
388	5.45220635976713	271
389	5.48252575951029	290
390	5.51284517571453	260
391	5.54316460847088	262
392	5.57348405787037	275
393	5.60380352400404	264
394	5.63412300696292	266
395	5.66444250683803	259
396	5.69476202372041	281
397	5.72508155770109	260
398	5.75540110887111	261
399	5.78572067732149	266
400	5.81604026314326	287
401	5.84635986642746	269
402	5.87667948726512	271
403	5.90699912574727	304
404	5.93731878196494	261
405	5.96763845600917	278
406	5.99795814797098	272
407	6.02827785794141	247
408	6.05859758601148	257
409	6.08891733227223	297
410	6.1192370968147	266
411	6.14955687972991	258
412	6.17987668110889	277
413	6.21019650104268	247
414	6.24051633962231	287
415	6.27083619693881	260
416	6.3011560730832	291
417	6.33147596814653	282
418	6.36179588221982	259
419	6.39211581539411	304
420	6.42243576776043	279
421	6.4527557394098	282
422	6.48307573043327	291
423	6.51339574092185	272
424	6.54371577096659	285
425	6.57403582065852	279
426	6.60435589008866	297
427	6.63467597934805	269
428	6.66499608852772	273
429	6.6953162177187	263
430	6.72563636701202	289
431	6.75595653649872	267
432	6.78627672626982	278
433	6.81659693641636	262
434	6.84691716702937	279
435	6.87723741819988	305
436	6.90755769001892	289
437	6.93787798257753	298
438	6.96819829596673	302
439	6.99851863027756	295
440	7.02883898560105	295
441	7.05915936202823	279
442	7.08947975965013	323
443	7.11980017855778	300
444	7.15012061884222	353
445	7.18044108059447	320
446	7.21076156390557	323
447	7.24108206886655	310
448	7.27140259556845	321
449	7.30172314410228	326
450	7.33204371455909	348
451	7.36236430702991	306
452	7.39268492160576	312
453	7.42300555837769	323
454	7.45332621743671	335
455	7.48364689887387	324
456	7.51396760278018	310
457	7.5442883292467	345
458	7.57460907836444	344
459	7.60492985022444	346
460	7.63525064491773	325
461	7.66557146253535	305
462	7.69589230316831	343
463	7.72621316690766	301
464	7.75653405384443	311
465	7.78685496406964	366
466	7.81717589767433	363
467	7.84749685474954	348
468	7.87781783538628	351
469	7.90813883967561	353
470	7.93845986770854	361
471	7.9687809195761	373
472	7.99910199536933	334
473	8.02942309517927	352
474	8.05974421909694	342
475	8.09006536721337	345
476	8.1203865396196	344
477	8.15070773640665	318
478	8.18102895766556	340
479	8.21135020348736	333
480	8.24167147396309	359
481	8.27199276918376	360
482	8.30231408924042	356
483	8.3326354342241	331
484	8.36295680422583	359
485	8.39327819933663	369
486	8.42359961964755	355
487	8.45392106524961	378
488	8.48424253623384	350
489	8.51456403269128	367
490	8.54488555471296	355
491	8.5752071023899	348
492	8.60552867581315	351
493	8.63585027507373	374
494	8.66617190026267	369
495	8.69649355147101	348
496	8.72681522878977	351
497	8.75713693230999	320
498	8.78745866212271	384
499	8.81778041831894	363
500	8.84810220098973	436
501	8.8784240102261	424
502	8.90874584611909	396
503	8.93906770875972	377
504	8.96938959823904	363
505	8.99971151464807	387
506	9.03003345807783	389
507	9.06035542861938	399
508	9.09067742636373	371
509	9.12099945140192	368
510	9.15132150382497	368
511	9.18164358372393	362
512	9.21196569118982	405
513	9.24228782631367	390
514	9.27260998918652	382
515	9.30293217989939	374
516	9.33325439854332	353
517	9.36357664520934	364
518	9.39389891998849	399
519	9.42422122297179	380
520	9.45454355425027	375
521	9.48486591391496	422
522	9.51518830205691	387
523	9.54551071876713	415
524	9.57583316413667	406
525	9.60615563825655	389
526	9.6364781412178	420
527	9.66680067311146	398
528	9.69712323402856	407
529	9.72744582406012	407
530	9.75776844329719	388
531	9.78809109183079	398
532	9.81841376975195	412
533	9.8487364771517	449
534	9.87905921412109	438
535	9.90938198075113	423
536	9.93970477713286	400
537	9.97002760335731	404
538	10.0003504595155	396
539	10.0306733456985	371
540	10.0609962619973	427
541	10.091319208503	407
542	10.1216421853065	448
543	10.1519651924989	397
544	10.1822882301713	433
545	10.2126112984147	406
546	10.2429343973201	386
547	10.2732575269785	447
548	10.3035806874809	435
549	10.3339038789185	437
550	10.3642271013822	424
551	10.3945503549631	411
552	10.4248736397522	443
553	10.4551969558404	402
554	10.485520303319	430
555	10.5158436822788	417
556	10.546167092811	396
557	10.5764905350065	389
558	10.6068140089564	458
559	10.6371375147517	410
560	10.6674610524835	406
561	10.6977846222427	434
562	10.7281082241205	414
563	10.7584318582078	406
564	10.7887555245956	405
565	10.8190792233751	422
566	10.8494029546372	458
567	10.879726718473	397
568	10.9100505149735	433
569	10.9403743442297	425
570	10.9706982063327	450
571	11.0010221013734	419
572	11.031346029443	402
573	11.0616699906325	380
574	11.0919939850329	443
575	11.1223180127351	452
576	11.1526420738303	442
577	11.1829661684095	387
578	11.2132902965638	408
579	11.243614458384	452
580	11.2739386539614	441
581	11.3042628833868	468
582	11.3345871467514	389
583	11.3649114441462	421
584	11.3952357756622	399
585	11.4255601413904	422
586	11.4558845414219	432
587	11.4862089758477	418
588	11.5165334447588	440
589	11.5468579482463	427
590	11.5771824864012	450
591	11.6075070593145	409
592	11.6378316670772	430
593	11.6681563097805	413
594	11.6984809875153	487
595	11.7288057003726	442
596	11.7591304484435	442
597	11.789455231819	449
598	11.8197800505902	415
599	11.8501049048481	434
600	11.8804297946836	431
601	11.9107547201879	444
602	11.941079681452	467
603	11.9714046785669	436
604	12.0017297116236	440
605	12.0320547807132	453
606	12.0623798859267	496
607	12.0927050273551	442
608	12.1230302050895	443
609	12.1533554192209	465
610	12.1836806698403	419
611	12.2140059570388	458
612	12.2443312809073	469
613	12.274656641537	489
614	12.3049820390189	470
615	12.3353074734439	458
616	12.3656329449031	434
617	12.3959584534876	457
618	12.4262839992883	449
619	12.4566095823964	453
620	12.4869352029028	436
621	12.5172608608986	497
622	12.5475865564748	454
623	12.5779122897224	450
624	12.6082380607325	443
625	12.6385638695961	463
626	12.6688897164043	444
627	12.699215601248	448
628	12.7295415242182	501
629	12.7598674854062	491
630	12.7901934849027	422
631	12.820519522799	469
632	12.850845599186	491
633	12.8811717141547	467
634	12.9114978677962	503
635	12.9418240602016	471
636	12.9721502914618	469
637	13.0024765616678	430
638	13.0328028709108	509
639	13.0631292192817	478
640	13.0934556068716	469
641	13.1237820337715	492
642	13.1541085000724	517
643	13.1844350058654	504
644	13.2147615512415	464
645	13.2450881362918	483
646	13.2754147611072	492
647	13.3057414257788	469
648	13.3360681303976	472
649	13.3663948750546	467
650	13.396721659841	409
651	13.4270484848477	500
652	13.4573753501657	484
653	13.4877022558862	478
654	13.5180292021	458
655	13.5483561888983	475
656	13.5786832163721	483
657	13.6090102846123	497
658	13.6393373937102	500
659	13.6696645437565	506
660	13.6999917348425	482
661	13.7303189670592	547
662	13.7606462404975	485
663	13.7909735552485	498
664	13.8213009114032	523
665	13.8516283090527	496
666	13.881955748288	513
667	13.9122832292001	501
668	13.9426107518801	486
669	13.972938316419	456
670	14.0032659229078	520
671	14.0335935714375	503
672	14.0639212620992	468
673	14.094248994984	500
674	14.1245767701828	500
675	14.1549045877866	461
676	14.1852324478866	504
677	14.2155603505737	517
678	14.245888295939	536
679	14.2762162840735	490
680	14.3065443150683	486
681	14.3368723890143	498
682	14.3672005060026	521
683	14.3975286661242	520
684	14.4278568694702	494
685	14.4581851161316	478
686	14.4885134061995	493
687	14.5188417397647	498
688	14.5491701169185	480
689	14.5794985377518	493
690	14.6098270023556	502
691	14.6401555108211	469
692	14.6704840632391	478
693	14.7008126597008	526
694	14.7311413002972	507
695	14.7614699851193	548
696	14.7917987142581	494
697	14.8221274878047	497
698	14.8524563058501	469
699	14.8827851684853	563
700	14.9131140758014	500
701	14.9434430278894	486
702	14.9737720248404	501
703	15.0041010667453	473
704	15.0344301536952	507
705	15.0647592857811	509
706	15.0950884630941	516
707	15.1254176857251	525
708	15.1557469537653	523
709	15.1860762673057	506
710	15.2164056264372	532
711	15.246735031251	498
712	15.2770644818379	496
713	15.3073939782892	512
714	15.3377235206958	521
715	15.3680531091487	518
716	15.398382743739	494
717	15.4287124245577	489
718	15.4590421516959	501
719	15.4893719252445	516
720	15.5197017452946	528
721	15.5500316119372	516
722	15.5803615252634	527
723	15.6106914853642	498
724	15.6410214923306	584
725	15.6713515462537	514
726	15.7016816472245	517
727	15.732011795334	484
728	15.7623419906732	494
729	15.7926722333333	509
730	15.8230025234051	521
731	15.8533328609798	512
732	15.8836632461484	506
733	15.9139936790018	481
734	15.9443241596313	547
735	15.9746546881277	536
736	16.0049852645821	536
737	16.0353158890855	524
738	16.065646561729	523
739	16.0959772826036	523
740	16.1263080518004	538
741	16.1566388694103	559
742	16.1869697355244	523
743	16.2173006502337	492
744	16.2476316136293	535
745	16.2779626258021	544
746	16.3082936868433	548
747	16.3386247968439	525
748	16.3689559558948	543
749	16.3992871640871	535
750	16.4296184215119	533
751	16.4599497282602	539
752	16.490281084423	514
753	16.5206124900913	538
754	16.5509439453562	559
755	16.5812754503087	532
756	16.6116070050398	500
757	16.6419386096406	525
758	16.6722702642021	530
759	16.7026019688154	524
760	16.7329337235714	564
761	16.7632655285612	485
762	16.7935973838758	516
763	16.8239292896063	534
764	16.8542612458436	579
765	16.8845932526789	563
766	16.9149253102032	549
767	16.9452574185074	545
768	16.9755895776826	590
769	17.0059217878199	556
770	17.0362540490103	517
771	17.0665863613448	535
